Column 1 1 1 1,Latitude,Longitude
"Maaloula, Syria",33.844167,36.546667
"Mardhun , Syria",37.3442929,40.6196487
"Mari , Syria",33.322126,35.6423694
"Menbij , Syria",36.533333,37.95
"Palmyra, Syria",34.56,38.267222
"Palmyra, Syria",34.56,38.267222
"Palmyra, Syria",34.56,38.267222
"Palmyra, Syria",34.56,38.267222
"Palmyra, Syria",34.56,38.267222
"Qadesh , Syria",32.9925796,35.6831344
"Qalaat Mudiq , Syria",35.4095969,36.3904282
"Qalaat Mudiq, Syria",35.4095969,36.3904282
"Qatura , Syria",36.3027469,36.8317559
"Qinnisrin , Syria",36.1944818,37.1536857
"Raqqa, Syria",35.9594106,38.9981052
"Raqqa, Syria",35.9594106,38.9981052
"Sarrin , Syria",36.5875,38.299722
"Sayyida Zainab , Syria",33.447222,36.336111
"Serjilla, Syria",35.6716782,36.5837234
"Tell Beydar , Syria",36.7386561,40.5864355
"Tell Bi`a , Syria",36.5286111,41.23
"Tell Shihab , Syria",32.688611,35.988889
"Yabrud, Syria",33.966667,36.666667
